,Fecha,Tweet_texto,Nombre_cuenta,Hora
88,2023-01-06 04:07:53,"mi siguiente carrera, creo que he forzado demasiado ya esa beca.  Es una compañía que se dedica a proveer energía, literalmente trabajamos en proyectos de energía eólica, más sostenible y también en el desarrollo de los paneles solares para empresas grandes, entre otras",sangrientofinal,4
89,2023-01-06 01:20:10,Hidrógeno barato y sostenible mediante energía solar - Grupo R Multimedio https://t.co/8AVHeiF89b https://t.co/rRosNKHbj3,diariolaruy,1
90,2023-01-06 00:01:06,"🪫 Ahorra energía: apaga las luces y los aparatos electrónicos cuando no los estés usando, utiliza bombillas LED y aprovecha la luz natural.

¡Esperamos que estas ideas te inspiren a empezar a caminar pasos sostenibles !

¿tienes alguna meta sostenible para este 2023? https://t.co/ylKkGwygTp",sommosmx,0
91,2023-01-06 00:00:52,"Samsung lleva la vida sostenible al siguiente nivel en CES 2023Las nuevas innovaciones presentadas por Samsung en el Consumer Electronics Show 2023 ofrecen más formas para que los consumidores ahorren energía y reduzcan los costos y su impacto en el

https://t.co/Zb5HOrvY86 https://t.co/otuEcBxHpT",henryramirezf,0
92,2023-01-06 00:00:52,"Samsung lleva la vida sostenible al siguiente nivel en CES 2023Las nuevas innovaciones presentadas por Samsung en el Consumer Electronics Show 2023 ofrecen más formas para que los consumidores ahorren energía y reduzcan los costos y su impacto en el

https://t.co/Zb5HOrvY86 https://t.co/otuEcBxHpT",henryramirezf,0
93,2023-01-06 00:00:03,"Internet de la Energía, la tecnología para un mundo descarbonizado con un sistema energético sostenible y eficiente https://t.co/jy167vcvzM",Generacion_IoT,0
94,2023-01-05 22:53:05,"Y al final de esto trata mucho, de que #Cáceres va muy bien, y pronto lo irá aun mejor.

Porque los grandes proyectos se alinearán con nuestras fortalezas tradicionales en un crecimiento en torno a industria verde (energia y IT), sin olvidar un turismo sostenible.

#CáceresAvanza",jorgevillar,22
95,2023-01-05 21:20:11,"Este edificio es el más grande en la historia de #Boston 100% libre de combustibles fósiles. #Conócelo 👇
#Arquitectura

https://t.co/VI1WCrcMmG https://t.co/hfkuUKPIR1",RealEstateEarth,21
96,2023-01-05 19:03:10,"Aunque esté nublado o lloviendo 🌦️ una instalación solar fotovoltaica es capaz de captar la energía del sol a través de la radiación que éste produce, para garantizarte energía limpia, sostenible y asequible todo el año 📅. https://t.co/0Nse2k8dQa https://t.co/PANSYjvwjo",CarvisaE,19
97,2023-01-05 18:26:13,"Les invito a leer el blog de @ArielYepezG donde comparte elementos claves para comprender la importancia de planificar y diseñar proyectos de infraestructura ambientalmente sostenible y con resiliencia ante los efectos del #CambioClimático. 

@el_BID 

https://t.co/kcsLSjw9c0",julia_johannsen,18
98,2023-01-05 17:34:43,"‼️Enhorabuena. Ya llegaron los Reyes Magos a la Zona Franca de Sevilla @SevillaZF . 
⬇️ Con muchísima ilusión y mucha energía -muy sostenible y saludable- en sus reales manos:

Gaspar: energía H2verde. 
Baltasar: energía eólica
Melchor: energía solar. 

🗞️ https://t.co/M97iSoLuOo https://t.co/AQ3hzrt0BJ",SevillaZF,17
99,2023-01-05 17:13:33,Científicos logran hidrógeno barato y sostenible de la energía solar - Prensa Latina - https://t.co/Xew19g1Aer #GoogleAlerts,AmonraTech,17
100,2023-01-05 16:20:23,@JonMendezIz Esto es como cuando Iberdrola te dice que la energía que llega a tu casa es verde porque tienes una tarifa especial para la gente que contrata la energía sostenible mientras los de las otras tarifas reciben energía contaminante.,sabadellito,16
101,2023-01-05 15:36:26,Alcaldía de El Seibo inaugura esta tarde Parque con energía sostenible https://t.co/hnSJm6Qkal,eltiempoDO,15
102,2023-01-05 15:36:26,Alcaldía de El Seibo inaugura esta tarde Parque con energía sostenible https://t.co/hnSJm6Qkal,eltiempoDO,15
103,2023-01-05 15:27:51,"La energía solar es un recurso inagotable y renovable. Entre sus puntos fuertes está la autoproducción, la conservación del medio ambiente y el gran ahorro que se consigue gracias a ella.

#energía #fotovoltaica #sostenible https://t.co/ys0zK7iIlR",EcoSoleo,15
104,2023-01-05 14:29:50,"Europa Press (04/01/2023): Hidrógeno barato y sostenible mediante energía solar.
https://t.co/n7VtzcwYwR",vctor92305336,14
105,2023-01-05 14:07:18,"¡Comenzamos el año con energía! 💪😎

🌎🍃 En Statkraft queremos un futuro sostenible para todos, por lo que hemos trazado nuestros objetivos para cumplir con los Objetivos de Desarrollo Sostenible (#ODS).

Puedes conocer más de nuestro enfoque aquí 📋👇
https://t.co/BH0vymFJ7b https://t.co/pzYmmJi15n",StatkraftChile,14
106,2023-01-05 13:14:23,"¿Te gustaría conocer más sobre desarrollo sostenible? 
 
¡Esta capacitación de Globo Común es para ti!
Estudia en línea y aprende sobre: 
 
✅ Tecnología
✅ Energía renovable
✅ Política. 
 
Aplica a una beca en 👉 https://t.co/3ym8lyUsP9
 
#GloboComúnEsSenescyt https://t.co/H07lvGO9Ts",EduSuperiorEc,13
107,2023-01-05 13:03:26,Mantener una temperatura ideal y el #confort de tu hogar mejorando tu consumo de #energía este invierno ¡es posible! Te damos algunas recomendaciones que te permitirán tener una calefacción más #eficiente y #sostenible. Descúbrelo en el #BlogEcológico🌱 https://t.co/d7KTO4mWu3 https://t.co/k7QMLShWbC,Vaillant_es,13
108,2023-01-05 12:44:09,"¡Nuestra amplia red de gasoductos recorre una gran parte de Colombia!

Nuestro compromiso es seguir conectando regiones con un sistema de gas limpio y sostenible.
@NaturgasCol @GrupoEnergiaBog @Andesco1 
#Energia #BeneficiosGas #GasNatural #sostenibilidad #TransportedeGas https://t.co/jZZFsxfx0h",TGISAESP,12
109,2023-01-05 12:31:42,@jluispradom @alexwolfx2 @harryelsocio El coste del H2 será elevado. Su producción eficiente y sostenible dependerá en gran medida de las energías renovables que lo puedan producir. Su transporte será un desafío (habrá mucha pérdida por calor). Aún con todo es la energía por la que hay que apostar a corto/medio plazo,EApostillador,12
110,2023-01-05 11:39:00,"🟢 Objetivo de Desarrollo Sostenible 7: Energía asequible y no contaminante

Es importante contar con más coches eléctricos, ya que tienen una contaminación menor.
La autopista AP-46 apuesta por los ODS y gracias a viajar con ella estarás colaborando para un futuro mejor. https://t.co/4j1pSoYrai",Ap46lasPedrizas,11
